Nome do projeto,Anexar arquivo,Data de início,Data de término,Equipe,Prioridade,Progresso,Responsável,Resumo por IA,Status,Valor final,Valor inicial
,,,,,,0%,,,Não iniciado,,
,,,,,,0%,,,Não iniciado,,
,,,,,,0%,,,Não iniciado,,
,,,,,,0%,,,Não iniciado,,
,,,,,,0%,,,Não iniciado,,
Lançamento público do app para iOS,,04/09/2025,04/30/2025,Financeiro,Alta,0%,,"Lançamento público do aplicativo para iOS com um orçamento de US$ 50.000, com início em 9 de abril de 2025 e término em 30 de abril de 2025. O projeto está em andamento e tem prioridade alta. Itens de ação e documentos devem ser fornecidos.",Em andamento,100,0
Renovar a integração de novos funcionários,,01/20/2025,02/04/2025,Recursos humanos,Baixa,100%,,"A renovação da integração de novos contratados está programada de 20 de janeiro de 2025 a 4 de fevereiro de 2025, com um status de baixa prioridade e uma meta de conclusão de 100.",Concluído,100,100
Planejamento trimestral de vendas,,03/24/2025,03/28/2025,Comercial,Média,0%,,"Planejamento trimestral de vendas para a equipe de gerenciamento de contas, programado de 24 a 28 de março de 2025, com prioridade média e meta de aumento de vendas de 0 para 100.",Não iniciado,100,0
Definir paleta de cores,,,,,,0%,Arielly Silva Rodrigues,"O projeto visa definir uma paleta de cores, com uma visão geral das metas e do contexto ainda a ser incluída. Há itens de ação a serem definidos e documentos associados a serem organizados.",Concluído,,
Definir Logo,,,,,,0%,Larissa Helena Machado Cardoso,"Projeto em andamento para definir um logo, incluindo uma visão geral das metas e itens de ação a serem realizados.",Concluído,,
Definir formato dos botões,,,,,,0%,Manuela Gomes Ribeiro,"O projeto visa definir o formato dos botões, com Manuela Gomes Ribeiro como responsável e status em andamento. Inclui uma visão geral das metas e um espaço para itens de ação e documentos relacionados.",Concluído,,
Definir iconografias,,,,,,0%,nicolly.l.nunes,"Projeto em andamento para definir iconografias, incluindo uma visão geral das metas e itens de ação a serem realizados.",Concluído,,
Definir interações com botões e iconografia,,,,,,0%,Arielly Silva Rodrigues,"O projeto visa definir interações com botões e iconografia, com uma visão geral das metas e contexto ainda a ser incluída, e possui itens de ação a serem definidos.",Concluído,,
Definir tiponografia,,,,,,0%,Larissa Helena Machado Cardoso,"O projeto em andamento, liderado por Larissa Helena Machado Cardoso, visa definir a tipografia, incluindo uma visão geral das metas e ações a serem tomadas, além de documentos relevantes.",Concluído,,
Identidade Visual: Documentar paleta de cores primárias e tipografia no Notion. ( Documento com o Nome da Equipe),,,,,,0%,nicolly.l.nunes,"O projeto visa documentar a paleta de cores primárias e tipografia no Notion, incluindo uma visão geral das metas e itens de ação a serem realizados. O status atual é ""Em andamento"".",Concluído,,
Criar o modelo com index.html e style.css,,,,,,0%,,"O projeto está em andamento e inclui uma visão geral das metas e do contexto, além de uma lista de itens de ação a serem concluídos.",Concluído,,
Documentar decisões no card do Notion referente a essa ação.,,,,,,0%,,"O projeto visa documentar decisões no card do Notion, com status em andamento. Inclui uma visão geral das metas e do contexto, além de itens de ação e documentos a serem adicionados.",Concluído,,
"  Layout e função Produtos
",,,,,,0%,,"O projeto ""Layout e função Produtos"" está em andamento e inclui uma visão geral das metas e do contexto, além de uma lista de itens de ação a serem realizados.",Concluído,,
"  Layout e função Clientes e Fornecedores",,,,,,0%,,"O projeto ""Layout e função Clientes e Fornecedores"" está em andamento e inclui uma visão geral das metas e do contexto, além de itens de ação a serem definidos e documentos a serem anexados.",Concluído,,
" Layout e função Funcionários
",,,,,,0%,,"O projeto está em andamento e inclui uma visão geral das metas e do contexto, além de uma lista de itens de ação e documentos relacionados.",Concluído,,
"  Layout e função Pedidos",,,,,,0%,,"O projeto ""Layout e função Pedidos"" está em andamento e inclui uma visão geral das metas e do contexto, além de itens de ação a serem definidos e documentos a serem anexados.",Concluído,,
"  Layout e função Financeiro",,,,,,0%,,"O projeto ""Layout e função Financeiro"" está em andamento e inclui uma visão geral das metas e do contexto, além de itens de ação a serem definidos e documentos a serem anexados.",Concluído,,
" Layout e função Estoque",,,,,,0%,,"O projeto está em andamento e inclui uma visão geral das metas e do contexto, além de itens de ação a serem definidos e documentos relacionados a serem anexados.",Concluído,,
"  Layout e função Login",,,,,,0%,,"O projeto ""Layout e função Login"" está em andamento e inclui uma visão geral das metas e do contexto, além de itens de ação a serem definidos e documentos relacionados a serem adicionados.",Concluído,,
Criar Classe Produto,,,,,,0%,nicolly.l.nunes,,Concluído,,
